 Network              & Method                & Opt. Val.            & Feas. Obj.           & Acc.                 & VMin                 & VMax                 & VUnbalance           &  MaxAngle             & L2/L1                 & CompTime            
13-bus               &Default              &  -----                & 0.0602               & 0.0000               & 0.8536               & 1.0000               &  0.11                 & 1.40                  & 0.00                  &   0.00                
13-bus               &BYI                  &  0.0532                & 0.0539               & 1.4082               & 0.9235               &  1.0429               & 0.04                 &  1.37                  &0.73                 &6.83                 
13-bus               &BYG                  &  0.0535                & 0.0539               & 0.7230               & 0.9235               &  1.0429               & 0.04                 &  1.37                  &0.00                 &5.39                 
13-bus               &CYG                  &  0.0534                & 0.0539               & 0.8685               & 0.9235               &  1.0429               & 0.04                 &  1.37                  &0.00                 &7.33                 
13-bus               &BYMIE                &  0.0535                & 0.0539               & 0.7236               & 0.9235               &  1.0429               & 0.04                 &  1.37                  &0.00                 &6.67                 
13-bus               &BCMIE                &  0.0500                & 0.0512               & 2.4197               & 0.9249               &  1.0925               & 0.03                 &  1.14                  &0.00                 &6.55                 
13-bus               &BOMIE                &  0.0516                & 0.0523               & 1.2563               & 0.9020               &  1.0818               & 0.07                 &  8.13                  &0.00                 &6.31                 
13-bus               &BYMGE                &  0.0535                & 0.0539               & 0.7237               & 0.9235               &  1.0429               & 0.04                 &  1.37                  &0.00                 &6.64                 
13-bus               &BCMGE                &  0.0500                & 0.0512               & 2.4209               & 0.9249               &  1.0925               & 0.03                 &  1.14                  &0.00                 &6.91                 
